Query 41: [-116.094, 39.4723, -111.598, 40.6001]	Intersections (14) : 	[5380, 8692, 2106, 5896, 7564, 7887, 7790, 6497, 9946, 8838, 3193, 2779, 4050, 5024]
Query 42: [-105.653, 44.4878, -98.6811, 45.215]	Intersections (18) : 	[5355, 612, 3164, 4074, 8271, 8638, 6537, 7956, 6188, 8654, 2651, 8908, 2545, 69, 8128, 5998, 1954, 4489]
Query 43: [-84.3215, 38.2717, -78.9785, 39.2206]	Intersections (91) : 	[9013, 1987, 3275, 301, 1620, 4185, 6281, 3180, 5048, 9102, 8423, 6162, 7453, 3100, 8101, 8918, 5517, 8339, 2383, 4372, 5772, 1349, 9844, 4811, 9293, 4194, 1131, 8079, 4300, 3039, 6487, 8137, 5627, 369, 4170, 3712, 308, 1391, 1781, 3229, 2392, 3077, 7724, 7873, 7505, 2272, 7680, 9026, 5971, 6669, 3337, 9129, 1431, 2926, 3479, 7810, 1815, 6461, 4380, 2419, 2171, 9799, 2110, 5595, 3517, 3673, 6691, 1834, 7011, 6309, 5785, 6324, 5138, 1612, 6795, 1824, 4296, 3322, 1163, 3202, 7848, 5023, 3018, 9499, 5902, 2351, 8234, 5965, 6503, 141, 4437]
Query 44: [-101.978, 35.8384, -95.0049, 36.5655]	Intersections (64) : 	[4282, 635, 1380, 2514, 5033, 9075, 2015, 5370, 2082, 1137, 8825, 8740, 7315, 2248, 2490, 7336, 9604, 2605, 7240, 4547, 2135, 1722, 1426, 2367, 6793, 2648, 5914, 5479, 3308, 22, 7109, 3390, 8702, 1866, 1763, 4141, 5856, 4205, 4702, 6402, 6221, 3966, 9775, 2874, 1023, 6551, 528, 3152, 2564, 9355, 4648, 7644, 5974, 8880, 2281, 9201, 7056, 4203, 768, 6878, 6720, 9517, 6680, 6424]
Query 45: [-102.566, 40.3911, -97.1107, 41.3205]	Intersections (57) : 	[2242, 75, 1060, 7833, 795, 9028, 7087, 4206, 8884, 333, 7761, 7306, 6071, 1817, 9824, 6997, 6707, 1168, 154, 9172, 5248, 2283, 8508, 941, 9678, 1314, 4410, 7750, 6292, 8018, 5110, 2016, 7673, 1959, 9455, 7794, 4521, 5320, 8743, 5928, 8226, 9578, 2084, 721, 8145, 5021, 885, 4563, 4798, 579, 3277, 9078, 9301, 823, 3822, 8697, 8570]
Query 46: [-84.4705, 35.0135, -79.1799, 35.9718]	Intersections (69) : 	[6996, 5319, 5524, 7894, 7268, 7690, 1188, 972, 9941, 8728, 778, 9839, 2785, 3030, 9469, 2938, 3157, 2133, 1474, 3795, 3208, 557, 6114, 8433, 8509, 7308, 9443, 9405, 6044, 134, 4775, 5220, 8151, 7734, 5337, 4742, 642, 1263, 3565, 1217, 6719, 686, 8995, 3448, 6394, 2583, 9730, 8572, 8270, 8550, 8428, 8955, 8762, 3557, 5649, 5332, 8760, 2178, 6354, 4244, 7081, 3239, 9826, 7353, 5742, 976, 6735, 1662, 7386]
Query 47: [-97.4687, 44.6143, -90.5531, 45.3474]	Intersections (127) : 	[1998, 2693, 4554, 3353, 7076, 1437, 1810, 3381, 2587, 7996, 4960, 3895, 5787, 2681, 5553, 5412, 8797, 7331, 238, 8360, 4374, 8160, 7130, 2614, 471, 4993, 7135, 7267, 3012, 2701, 7654, 5180, 2466, 1994, 9647, 7832, 1515, 7196, 8569, 8049, 5167, 4807, 6671, 2528, 1968, 9058, 6576, 2092, 2810, 9302, 5718, 4982, 9489, 5673, 6383, 1383, 2717, 2664, 6421, 9169, 9024, 1510, 7344, 7428, 4558, 6502, 6275, 6007, 7970, 8424, 5658, 2256, 3176, 5967, 1938, 9476, 8463, 5973, 4343, 2229, 3574, 7788, 3150, 8549, 379, 7072, 3735, 2193, 8522, 4330, 8959, 8384, 5392, 4671, 173, 5881, 9527, 5884, 6098, 5089, 346, 6852, 8268, 7979, 4070, 2999, 4845, 2552, 9337, 1345, 1576, 1148, 2766, 3853, 5689, 8420, 4817, 1520, 4212, 7146, 1606, 5285, 669, 1694, 8176, 7577, 5441]
Query 48: [-111.604, 45.1305, -97.0491, 45.4788]	Intersections (16) : 	[2858, 7625, 7791, 2466, 3201, 6537, 2720, 1852, 1696, 6803, 8827, 9571, 2778, 3420, 2078, 9530]
Query 49: [-111.755, 35.9887, -107.437, 37.1629]	Intersections (7) : 	[5813, 628, 4485, 8776, 1661, 5258, 8279]
Query 50: [-95.4272, 33.3317, -90.1317, 34.2892]	Intersections (79) : 	[2317, 90, 8033, 5348, 1310, 673, 4144, 888, 5391, 5701, 4724, 1898, 7436, 182, 8777, 7040, 1625, 815, 6293, 5090, 7955, 5587, 246, 1329, 9220, 4339, 5608, 1730, 9132, 5328, 2888, 8617, 3568, 9039, 8465, 2007, 3171, 6563, 1880, 752, 2132, 4055, 5991, 5160, 1425, 909, 3623, 135, 7479, 8566, 1116, 8318, 4146, 8417, 2900, 3014, 9421, 88, 79, 7495, 4095, 9217, 6254, 7678, 7635, 3464, 1004, 5096, 9809, 7542, 1835, 139, 9814, 9477, 8969, 1019, 1325, 1099, 2099]
Query 51: [-86.6097, 33.6422, -81.852, 34.7079]	Intersections (123) : 	[8843, 7368, 4620, 5845, 3858, 5759, 8229, 3859, 4216, 3738, 4132, 6606, 6846, 2554, 853, 4154, 8284, 7357, 8355, 8323, 9251, 9196, 1304, 2850, 9620, 5470, 4880, 1087, 4032, 711, 5523, 987, 7580, 9564, 6151, 8714, 3796, 6765, 2214, 8308, 1199, 8792, 720, 5717, 2299, 6711, 4592, 8455, 9334, 9397, 6743, 2308, 265, 5749, 8790, 2960, 5114, 1833, 5408, 6237, 5602, 2156, 6122, 9808, 4924, 8210, 111, 9767, 7650, 3563, 8297, 6186, 9232, 8459, 5158, 4252, 2105, 1944, 1175, 3361, 2535, 1269, 7310, 1082, 1088, 6414, 122, 864, 4226, 1433, 3511, 4135, 9591, 3645, 2491, 5663, 8120, 4406, 1975, 1536, 9795, 9641, 9884, 8795, 3335, 2494, 5241, 133, 3602, 8467, 8037, 2856, 1165, 6420, 1144, 4654, 8080, 849, 2872, 6783, 8798, 9099, 8283]
